[11552:8380:0811/122514.086:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[11552:8380:0811/122519.096:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[11552:8380:0811/122524.115:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[11552:8380:0811/122529.131:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[11552:8380:0811/122534.167:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[11552:8380:0811/122539.191:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[11552:8380:0811/122544.211:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[11552:8380:0811/122549.230:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[11552:8380:0811/122554.244:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[11552:8380:0811/122559.261:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[11552:8380:0811/122604.275:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[11552:8380:0811/122609.294:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[11552:8380:0811/122614.329:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[11552:8380:0811/122619.361:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[11552:8380:0811/122624.372:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[11552:8380:0811/122629.402:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[11552:8380:0811/122634.440:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[11552:8380:0811/122639.464:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[11552:8380:0811/122644.488:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[11552:3524:0811/122644.791:INFO:CONSOLE(67)] "WebSocket connection to 'wss://oppush.livesport.eu/WebSocketConnection-Secure' failed: Error in connection establishment: net::ERR_INTERNET_DISCONNECTED", source: http://www.oddsportal.com/res/x/pushclient-180809075244.js (67)
[11552:8380:0811/122649.521:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[11552:8380:0811/122654.533:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[11552:8380:0811/122659.559:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[11552:8380:0811/122704.566:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[11552:8380:0811/122709.593:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[11552:8380:0811/122714.616:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[11552:8380:0811/122719.643:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[11552:8380:0811/122724.664:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[11552:8380:0811/122729.686:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[11552:8380:0811/122734.709:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[11552:8380:0811/122739.747:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[11552:8380:0811/122744.778:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
[11552:8380:0811/122749.790:WARNING:dns_config_service_win.cc(669)] Failed to read DnsConfig.
